cve_entidad,entidad,periodo,categoria,sexo,cve_municipio,municipio,conteo,consultado_en
01,AGUASCALIENTES,2019-01,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,01010,EL LLANO,1,2026-07-09
01,AGUASCALIENTES,2019-01,LOCALIZADA_CON_VIDA,HOMBRE,01001,AGUASCALIENTES,19,2026-07-09
01,AGUASCALIENTES,2019-01,LOCALIZADA_CON_VIDA,MUJER,01001,AGUASCALIENTES,24,2026-07-09
01,AGUASCALIENTES,2019-01,LOCALIZADA_CON_VIDA,HOMBRE,01005,JESÚS MARÍA,3,2026-07-09
01,AGUASCALIENTES,2019-01,LOCALIZADA_CON_VIDA,MUJER,01006,PABELLÓN DE ARTEAGA,2,2026-07-09
01,AGUASCALIENTES,2019-01,LOCALIZADA_SIN_VIDA,HOMBRE,01001,AGUASCALIENTES,3,2026-07-09
01,AGUASCALIENTES,2019-02,LOCALIZADA_CON_VIDA,HOMBRE,01001,AGUASCALIENTES,17,2026-07-09
01,AGUASCALIENTES,2019-02,LOCALIZADA_CON_VIDA,MUJER,01001,AGUASCALIENTES,20,2026-07-09
01,AGUASCALIENTES,2019-02,LOCALIZADA_CON_VIDA,MUJER,01004,COSÍO,1,2026-07-09
01,AGUASCALIENTES,2019-02,LOCALIZADA_CON_VIDA,MUJER,01005,JESÚS MARÍA,5,2026-07-09
01,AGUASCALIENTES,2019-02,LOCALIZADA_CON_VIDA,HOMBRE,01006,PABELLÓN DE ARTEAGA,2,2026-07-09
01,AGUASCALIENTES,2019-02,LOCALIZADA_SIN_VIDA,HOMBRE,01001,AGUASCALIENTES,1,2026-07-09
01,AGUASCALIENTES,2019-02,LOCALIZADA_SIN_VIDA,MUJER,01001,AGUASCALIENTES,1,2026-07-09
01,AGUASCALIENTES,2019-03,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,01009,TEPEZALA,1,2026-07-09
01,AGUASCALIENTES,2019-03,LOCALIZADA_CON_VIDA,HOMBRE,01001,AGUASCALIENTES,14,2026-07-09
01,AGUASCALIENTES,2019-03,LOCALIZADA_CON_VIDA,MUJER,01001,AGUASCALIENTES,25,2026-07-09
01,AGUASCALIENTES,2019-03,LOCALIZADA_CON_VIDA,HOMBRE,01005,JESÚS MARÍA,1,2026-07-09
01,AGUASCALIENTES,2019-03,LOCALIZADA_CON_VIDA,MUJER,01005,JESÚS MARÍA,1,2026-07-09
01,AGUASCALIENTES,2019-03,LOCALIZADA_SIN_VIDA,HOMBRE,01001,AGUASCALIENTES,1,2026-07-09
01,AGUASCALIENTES,2019-04,DESAPARECIDA_O_NO_LOCALIZADA,MUJER,01007,RINCÓN DE ROMOS,1,2026-07-09
